knowledge1,knowledge2
原子性,模块化
原子性,逻辑单元
原子操作,命令接口
原子操作,扩展服务集
原子操作,操作语义
原子操作,数据服务
原子操作,逻辑单元
参数空间,局部参数
变分问题,权向量
可执行文件,可执行程序
可执行程序,系统实施
可用性,冲突避免
可用性,单元测试
可用性,死锁预防
可用性,白盒测试
可用性,确定性算法
可用性,系统能力
可用性,网络安全
可用性,计算复杂性
可用性,资源分配
可行解,NP难问题
可辨识性,分类
可辨识性,分类器
可辨识性,单向鉴别
可辨识性,模式识别
可辨识性,消息鉴别码
可辨识性,输出反馈
可重用性,多继承
可重用性,多输入多输出
可重用性,抽象数据类型
可重用性,抽象类
可重用性,搜索引擎
可重用性,数据共享
可重用性,数据封装
可重用性,数据库技术
可重用性,文件分配
可重用性,知识共享
可重用性,空间管理
可重用性,类结构
可重用性,系统能力
可重用性,终身学习
可重用性,虚拟化
可重用性,虚拟存储管理
可重用性,迭代循环
可重用性,逻辑地址
可重用性,逻辑地址空间
可预测性,p值
可预测性,t分布
可预测性,不确定性推理
可预测性,主成分分析
可预测性,事件检测
可预测性,二项分布
可预测性,互熵
可预测性,交叉熵
可预测性,似然
可预测性,似然函数
可预测性,先验分布
可预测性,先验概率
可预测性,冲突检测
可预测性,冲突避免
可预测性,几何分布
可预测性,参数估计
可预测性,可测函数
可预测性,可视化分析
可预测性,后验分布
可预测性,后验概率
可预测性,均匀分布
可预测性,学习曲线
可预测性,拟合
可预测性,数值分析
可预测性,数据对象
可预测性,无偏估计
可预测性,无监督学习
可预测性,最优估计
可预测性,最优值
可预测性,最优解
可预测性,最佳拟合
可预测性,最大似然估计
可预测性,最大后验
可预测性,最大熵原理
可预测性,条件分布
可预测性,条件概率
可预测性,条件熵
可预测性,样本分布
可预测性,样本均值
可预测性,概率
可预测性,概率分布
可预测性,概率论
可预测性,模型拟合
可预测性,欠拟合
可预测性,死锁预防
可预测性,点估计
可预测性,特征提取
可预测性,状态估计
可预测性,状态转移概率
可预测性,理性智能体
可预测性,目标约束
可预测性,相对熵
可预测性,线性回归
可预测性,联合分布
可预测性,蒙特卡洛方法
可预测性,误差逆传播算法
可预测性,贝叶斯估计
可预测性,贝叶斯决策
可预测性,贝叶斯方法
可预测性,转移概率
可预测性,转移概率矩阵
可预测性,软件中断
可预测性,过拟合
可预测性,逻辑斯谛分布
可预测性,遗传算法
可预测性,采样
可预测性,预测误差
可预测性,马尔可夫链
叶节点,B树
叶节点,检索树
后进先出,栈顶
后验分布,不确定性推理
后验分布,人工神经网络
后验分布,似然
后验分布,似然函数
后验分布,单向传递
后验分布,最大似然估计
后验分布,最大后验
后验分布,神经网络算法
后验分布,贝叶斯估计
后验分布,链式法则
后验概率,先验分布
后验概率,前馈网络
后验概率,拟合
后验概率,最佳拟合
后验概率,最大似然估计
后验概率,条件分布
后验概率,样本分布
后验概率,欠拟合
后验概率,神经网络算法
后验概率,贝叶斯公式
后验概率,贝叶斯方法
后验概率,过拟合
后验概率,马尔可夫链
向量,内积
向量,卷积
向量,基向量
向量,巴拿赫空间
向量,希尔伯特空间
向量,拓扑线性空间
向量,梯度方向
向量,正交基
向量,状态向量
向量,离散空间
向量,线性空间
向量,行向量
命令接口,可执行程序
命令接口,模块化
命令接口,管理子系统
命名空间,头文件
命名空间,类函数
命名空间,面向对象程序设计
和校验,加密
和校验,加密技术
和校验,数据加密
哈希函数,加密
哈希函数,加密技术
哈希函数,密码学
哈希函数,数据加密
响应性,响应时间
响应性,增强现实
响应性,调度策略
响应时间,互连网络
响应时间,异步传输
响应时间,报文交换
响应时间,数据传送
响应时间,数据网络
响应时间,网络体系结构
响应时间,网络延时
因特网,搜索引擎
图像处理,图像分割
图像处理,增强现实
图像数据,图像处理
图像数据,特征提取
图像数据,计算机视觉
图形学,画家算法
图灵机,计算复杂性
图的遍历,广度优先搜索
图的遍历,深度优先搜索
图论,结点
在线学习,增量学习
在线学习,终身学习
地址寄存器,地址映射
地址寄存器,地址解析
地址寄存器,地址计算
地址寄存器,存储分配
地址寄存器,相对地址
地址寄存器,虚拟地址
地址寄存器,逻辑地址空间
地址总线,地址解析
地址映射,地址计算
地址映射,相对地址
地址映射,虚拟地址
地址映射,虚拟地址空间
地址空间,地址解析
地址空间,寻址方式
地址空间,空间管理
地址空间,虚拟地址空间
地址空间,虚拟存储管理
地址空间,逻辑地址
地址空间,逻辑地址空间
地址空间,预分配
地址解析,寻址方式
地址解析,文件分配
地址解析,相对地址
地址解析,虚拟地址
地址解析,随机存取机
地址计算,跳转指令
均值,均值向量
均值,平衡分布
均值向量,协方差
均值向量,均方误差
域名,互连网络
域名,协议数据单元
域名,报文交换
域名,数据
域名,数据传送
域名,服务器
域名,网络体系结构
域名,网络地址转换
基向量,希尔伯特空间
基向量,正交基
基本输入输出系统,分布式操作系统
基本输入输出系统,实时操作系统
增量,增量学习
增量学习,终身学习
复杂性,计算复杂性
外部中断,中断机制
外部资源,中间件
外部资源,基本输入输出系统
外部资源,自治系统
外部资源,计算机系统
多继承,继承属性
多输入多输出,数字用户线接入复用器
多项式,多项式时间算法
多项式,确定性算法
多项式,级数求和
多项式时间算法,NP难问题
大于,上界
大于,下界
大于,不等式
大于,中位数
大于,偏序
大于,局部极小值
大于,开区间
大于,极值点
大于,极大值
大于,极大点
大于,极小化
大于,闭区间
大数据,搜索引擎
大数据,知识共享
头文件,抽象类
子串,检索树
子串,真前缀
子串,顺序查找
子系统,嵌入式系统
子系统,自治系统
子集,补集
字符串,KMP算法
字符串,串匹配
字符串,回文
字符串,子串
字符串,真前缀
字长,溢出
存储分配,存储过程
存储分配,活动分区
存储分配,缓存
存储分配,虚拟存储管理
存储分配,随机存取机
存储分配,顺序存储
存储网络,云计算
存储过程,虚拟存储管理
存储过程,顺序存储
存在约束,目标约束
安全协议,网络安全
安全协议,网络攻击
安全协议,路由信息协议
完全图,完全二叉树
实数域,上界
实数域,下界
实数域,值域
实数域,均值向量
实数域,实根
实数域,实轴
实数域,开区间
实数域,矩阵的元
实数域,闭区间
实时操作系统,多用户系统
实轴,开区间
实轴,闭区间
密度函数,似然
密度函数,似然函数
密度函数,状态转移概率
密度函数,转移概率
密度函数,转移概率矩阵
密度函数,预测误差
密码算法,加密
密码算法,加密技术
密码算法,数据加密
密钥长度,加密
密钥长度,加密技术
密钥长度,密码算法
密钥长度,序列密码
对偶问题,网络流
对数函数,基本函数
寻址,地址映射
寻址,寻址方式
寻址,相对地址
寻址,缓存
寻址,逻辑地址
寻址,随机存取机
寻址方式,文件分配
寻址方式,随机存取机
寻址方式,预分配
嵌入式系统,基本输入输出系统
嵌入式系统,机器人
嵌入式系统,硬件抽象层
布尔表达式,数理逻辑
布尔运算,布尔表达式
平面,准线
平面,分离超平面
平面,原点
平面,曲线
并发性,分布式计算
并行处理,分布式计算
并行处理,计算密集型任务
并行处理,高频交易
度量空间,巴拿赫空间
度量空间,拓扑线性空间
度量空间,离散空间
开源软件,输出
异常,单元测试
异常,白盒测试
强化学习,状态估计
微分方程,传递函数
投影变换,仿射函数
报文交换,互连网络
抽样,样本空间
抽样,自助法
抽象类,多继承
拓扑线性空间,巴拿赫空间
拟合,价值函数
拟合,决策树
拟合,学习曲线
拟合,损失函数
拟合,最佳拟合
拟合,模型拟合
拟合,欠拟合
拟合,神经网络模型
拟合,线性回归
拟合,过拟合
拟合,逻辑斯谛回归
指令寄存器,地址映射
指令寄存器,存储分配
指令寄存器,虚拟地址
指令寄存器,虚拟地址空间
指令寄存器,逻辑地址空间
指令寄存器,随机存取机
指令流,冲突
指令流,冲突避免
指令流,工作流
按序执行,指令流
损失函数,凸二次规划
排序,排序问题
排序问题,交换排序
排序问题,内排序
排序问题,堆排序
排序问题,快速排序
排序问题,插入排序
排序问题,选择排序
推理方法,不确定性推理
推理方法,自动推理
搜索方向,启发式
操作数,可执行程序
操作数,命令接口
操作数,扩展服务集
操作数,操作语义
操作数,机器人
操作数,赋值语句
操作系统,分布式操作系统
操作系统,基本输入输出系统
操作系统,实时操作系统
操作系统,系统实现
操作语义,可执行程序
操作语义,数据服务
操作语义,机器人
操作语义,逻辑单元
数字通信系统,信噪比
数字通信系统,信息隐蔽
数字通信系统,失真
数字通信系统,数字用户线接入复用器
数字通信系统,码元
数字通信系统,解码器
数据,元数据
数据,协议数据单元
数据,图像处理
数据,图像数据
数据,大数据
数据,异步传输
数据,数据传送
数据,数据元素
数据,数据共享
数据,数据对象
数据,数据封装
数据,数据模型
数据,数据源
数据,网络体系结构
数据,网络地址转换
数据,网络安全
数据,网络延时
数据,网络攻击
数据,路由信息协议
数据传送,互连网络
数据传送,数据共享
数据传送,数据网络
数据传送,服务器
数据共享,数据网络
数据共享,远程访问
数据加密,入侵防御系统
数据加密,公开密钥加密
数据加密,数据加密标准
数据加密标准,公开密钥加密
数据加密标准,高级加密标准
数据压缩,异步传输
数据完整性,存储分配
数据完整性,虚拟存储管理
数据封装,存储网络
数据封装,异步传输
数据封装,数据传送
数据封装,数据共享
数据封装,数据库技术
数据封装,数据网络
数据封装,数据转换
数据封装,服务器
数据封装,路由信息协议
数据库,搜索引擎
数据库,数据库技术
数据库技术,信息获取
数据库技术,分布式计算
数据库技术,搜索引擎
数据服务,扩展服务集
数据类型,初始化值
数据类型,开源软件
数据类型,抽象类
数据结构,线性结构
数据结构,链表
数据结构,非线性结构
数据网络,云计算
数据转换,数据库技术
数组,哈希函数
数组,字符串
数组,快速排序
数组,替换算法
数组,顺序查找
整除,偶数
整除,因数分解
文件分配,预分配
方程,传递函数
方程,判别式
方程,多项式方程
方程,实根
方程,微分方程
无向图,完全图
无向图,树表示
无监督学习,主成分分析
无穷小,积分
时钟周期,分布式计算
时钟周期,并行处理
时钟周期,机器人
时间序列,数字通信系统
时间序列,码元
时间序列,解码器
时间序列,高频交易
智能体,理性智能体
曲线,准线
最优值,最大值问题
最优值,随机梯度下降法
最优性,凸规划
最优解,共轭梯度法
最优解,凸规划
最优解,局部极小值
最优解,拉格朗日乘子法
最优解,拟牛顿法
最优解,最优值
最优解,最大值问题
最优解,最速下降法
最优解,模拟退火算法
最优解,牛顿法
最优解,目标约束
最优解,约束传播
最优解,蒙特卡洛方法
最优解,误差逆传播算法
最优解,遗传算法
最优解,随机梯度下降法
最大传输单元,互连网络
最大传输单元,报文交换
最大传输单元,数据传送
最大传输单元,数据封装
最大传输单元,数据网络
最大传输单元,网络规模
最大传输单元,路由信息协议
最小距离,检索树
最短路径,网络流
有向图,入度
有向图,回路
有向图,有向弧
有向图,有向无环图
有向图,网络流
有向弧,入度
有效位数,密钥长度
有效位数,游程编码
有效位数,用户标识
有效性,数据库技术
有效性,算法
有效性,跳转指令
服务器,云计算
机器指令,中断
机器指令,循环移位
机器指令,指令流
机器指令,机器人
机器指令,死锁预防
条件分布,后验分布
条件概率,后验分布
条件概率,后验概率
条件概率,最大后验
条件概率,条件分布
条件概率,蒙特卡洛方法
条件概率,贝叶斯公式
极值点,全局极大值
极值点,局部极小值
极值点,极大值
极值点,极大点
极值点,极小化
极大值,全局极大值
极大值,变分问题
极大值,极大点
极大点,变分问题
极大点,权向量
极小化,局部极小值
标准输出,代码优化
标准输出,单元测试
标准输出,转义字符
标记语言,搜索引擎
标识符,命名空间
标识符,多继承
标识符,抽象数据类型
标识符,抽象类
标识符,操作符重载
标识符,数据类型
标识符,标记语言
标识符,类函数
标识符,赋值语句
标识符,逻辑表达式
标识符,重构
标识符,面向对象方法
树算法,树搜索算法
树表示,二叉树
树表示,兄弟
树表示,叶节点
树表示,同源
树表示,后继
树表示,完全二叉树
树表示,有根树
树表示,树算法
树表示,森林
样本分布,p值
样本分布,参数估计
样本分布,无偏估计
样本分布,最优估计
样本分布,最大似然估计
样本分布,点估计
样本分布,矩估计
样本均值,图像处理
样本均值,在线学习
样本均值,梯度方向
样本均值,深度学习
样本点,下降方向
样本点,下降算法
样本点,中位数
样本点,在线学习
样本点,均值
样本点,强化学习
样本点,无监督学习
样本点,样本均值
样本点,样本空间
样本点,线性回归模型
样本点,随机梯度下降法
样本空间,中位数
样本空间,参数估计
样本空间,均值
样本空间,均值向量
样本空间,无偏估计
样本空间,最优估计
样本空间,最大似然估计
样本空间,样本分布
样本空间,样本均值
样本空间,点估计
样本空间,矩估计
核函数,核方法
核函数,正定核
核方法,决策问题
梯度方向,下降算法
梯度方向,共轭梯度法
梯度方向,拟牛顿法
梯度方向,最速下降法
梯度方向,牛顿法
梯度方向,自组织神经网络
梯度方向,误差逆传播算法
梯度方向,随机梯度下降法
检索树,B树
检索树,平均查找长度
概率,不确定性推理
概率,专家系统
概率,互熵
概率,交叉熵
概率,似然
概率,似然函数
概率,信息熵
概率,先验概率
概率,决策树
概率,分布函数
概率,分类器
概率,后验概率
概率,密度函数
概率,平衡分布
概率,推理方法
概率,搜索引擎
概率,最优估计
概率,最大似然估计
概率,最大熵原理
概率,条件概率
概率,条件熵
概率,概率分布
概率,概率论
概率,模型拟合
概率,模式识别
概率,深度学习
概率,状态转移概率
概率,相对熵
概率,矩估计
概率,神经网络算法
概率,自助法
概率,蒙特卡洛方法
概率,贝叶斯估计
概率,贝叶斯决策
概率,贝叶斯方法
概率,转移概率
概率,转移概率矩阵
概率,随机游动
概率分布,价值函数
概率分布,决策树
概率分布,分布函数
概率分布,学习曲线
概率分布,密度函数
概率分布,平衡分布
概率分布,损失函数
概率分布,最佳拟合
概率分布,模型拟合
概率分布,欠拟合
概率分布,神经网络模型
概率分布,线性回归
概率分布,自助法
概率分布,贝叶斯估计
概率分布,过拟合
概率分布,逻辑斯谛回归
概率论,主成分分析
概率论,互熵
概率论,交叉熵
概率论,人工神经网络
概率论,似然
概率论,似然函数
概率论,信息熵
概率论,决策树
概率论,决策问题
概率论,分类
概率论,分类器
概率论,学习曲线
概率论,平衡分布
概率论,循环网络
概率论,抽样
概率论,拟合
概率论,搜索引擎
概率论,无监督学习
概率论,最优估计
概率论,最佳拟合
概率论,最大似然估计
概率论,最大熵原理
概率论,最速下降法
概率论,条件熵
概率论,样本点
概率论,模式识别
概率论,欠拟合
概率论,深度学习
概率论,激活函数
概率论,状态向量
概率论,状态转移概率
概率论,相对熵
概率论,矩估计
概率论,神经网络模型
概率论,神经网络算法
概率论,自助法
概率论,蒙特卡洛方法
概率论,贝叶斯估计
概率论,贝叶斯公式
概率论,贝叶斯决策
概率论,贝叶斯方法
概率论,转移概率
概率论,转移概率矩阵
概率论,过拟合
概率论,逻辑斯谛回归
概率论,遗传算法
概率论,随机梯度下降法
概率论,随机游动
概率论,随机游走
概率论,预测误差
概率论,马尔可夫链
模块,单元测试
模块,抽象类
模块,类函数
模块,类结构
模块,集成测试
模块,黑箱
模块化,管理子系统
模型拟合,价值函数
模型拟合,决策树
模型拟合,学习曲线
模型拟合,损失函数
模型拟合,最佳拟合
模型拟合,欠拟合
模型拟合,神经网络模型
模型拟合,神经网络算法
模型拟合,线性回归
模型拟合,线性回归模型
模型拟合,过拟合
模型拟合,逻辑斯谛回归
模型拟合,预测误差
模式识别,信息获取
模式识别,分类器
模拟信号,信号处理
模拟信号,信噪比
模拟信号,失真
模拟信号,码元
模拟信号,解码器
模拟信号,频域
正交变换,主成分分析
正交变换,信号处理
正交坐标,希尔伯特空间
正交坐标,投影变换
正交坐标,柱面
正交坐标,超曲面
正交基,希尔伯特空间
正交码,解码器
正弦,基本函数
汇编语言,内核
汇编语言,基本输入输出系统
汇编语言,翻译程序
汇编语言,解释程序
汇编语言,计算机系统
流程控制,代码优化
消息鉴别码,网络安全
消息鉴别码,网络攻击
深度优先搜索,八皇后问题
深度学习,神经网络模型
激活函数,在线学习
激活函数,强化学习
激活函数,深度学习
激活函数,神经网络模型
激活函数,神经网络算法
激活函数,自组织神经网络
牛顿法,自组织神经网络
特征向量,搜索引擎
特征提取,傅里叶变换
状态向量,状态估计
状态向量,状态空间
状态向量,转移概率矩阵
状态向量,马尔可夫链
状态空间,状态估计
状态转移概率,转移概率矩阵
状态转移概率,马尔可夫链
独立性,二项分布
独立性,先验分布
独立性,先验概率
独立性,后验分布
独立性,后验概率
独立性,最大后验
独立性,条件概率
独立性,蒙特卡洛方法
独立性,贝叶斯估计
独立性,贝叶斯公式
独立性,贝叶斯决策
独立性,贝叶斯方法
独立性,马尔可夫链
独立性,黑箱
用户进程,访问控制
用户进程,调度策略
用户进程,资源分配
用户进程,进程间通信
白盒测试,集成测试
目标约束,凸二次规划
目标约束,约束传播
直径,同心圆
相对地址,地址计算
知识,专家系统
知识,信息获取
知识,搜索引擎
知识,概念图
知识,知识共享
知识,知识表示
知识表示,信息获取
知识表示,搜索引擎
矩阵表示,关联矩阵
矩阵表示,列向量
矩阵表示,对称矩阵
矩阵表示,张量
矩阵表示,正定矩阵
矩阵表示,特征向量
矩阵表示,矩阵的元
矩阵表示,矩阵的迹
矩阵表示,线性变换
矩阵表示,行向量
矩阵表示,邻接矩阵
矩阵表示,邻接表
码元,上升沿
码元,信噪比
码元,失真
码元,正交码
码元,解码器
硬件抽象层,计算机系统
确定性算法,B树
确定性算法,因数分解
确定性算法,快速排序
确定性算法,检索树
确定性算法,顺序查找
神经网络模型,循环网络
神经网络模型,自组织神经网络
神经网络算法,人工神经网络
神经网络算法,前馈网络
神经网络算法,循环网络
神经网络算法,自组织神经网络
神经网络算法,误差逆传播算法
程序设计,B树
程序设计,ML语言
程序设计,NP难问题
程序设计,代码优化
程序设计,单继承
程序设计,参数空间
程序设计,命名空间
程序设计,哈希函数
程序设计,因数分解
程序设计,多继承
程序设计,头文件
程序设计,子串
程序设计,字符串
程序设计,局部优化
程序设计,平均查找长度
程序设计,快速排序
程序设计,抽象数据类型
程序设计,抽象类
程序设计,搜索引擎
程序设计,操作符重载
程序设计,数据类型
程序设计,数组
程序设计,替换算法
程序设计,标准输出
程序设计,标记语言
程序设计,检索树
程序设计,模块
程序设计,白盒测试
程序设计,确定性算法
程序设计,类函数
程序设计,类结构
程序设计,继承
程序设计,继承属性
程序设计,翻译程序
程序设计,解释程序
程序设计,计算复杂性
程序设计,语法错误
程序设计,赋值语句
程序设计,输出
程序设计,运行时间
程序设计,递归函数
程序设计,重构
程序设计,随机搜索
程序设计,集成测试
程序设计,静态语义
程序设计,面向对象方法
程序设计,面向对象程序设计
程序设计,顺序查找
稳定性,密码算法
稳定性,快速排序
稳定性,系统能力
稳定性,集成测试
稳定性,黑箱
穷举搜索,二分搜索
穷举搜索,深度优先搜索
穷举搜索,随机搜索
空间坐标,仿射函数
空间坐标,希尔伯特空间
空间坐标,投影变换
空间坐标,柱面
空间坐标,正交坐标
空间管理,文件分配
空间管理,索引
空间管理,缓存
空间管理,虚拟存储管理
空间管理,顺序存储
空间管理,预分配
等待时间,响应时间
算术,减法
算术,分数
算术,加法结合律
算术,整除
算术,被加数
算术,贝叶斯公式
算术,除法
算法,B树
算法,NP难问题
算法,二分搜索
算法,交换律
算法,交换排序
算法,内排序
算法,分治
算法,划分算法
算法,剪枝
算法,割点
算法,动态规划
算法,启发式
算法,哈希函数
算法,回路
算法,因数分解
算法,堆排序
算法,平均查找长度
算法,快速排序
算法,扫描线算法
算法,插入排序
算法,搜索引擎
算法,替换算法
算法,最小二乘法
算法,最小距离
算法,树算法
算法,检索树
算法,正确性证明
算法,画家算法
算法,确定性算法
算法,穷举搜索
算法,计算复杂性
算法,近似算法
算法,迭代循环
算法,迭代算法
算法,选择排序
算法,递归函数
算法,随机搜索
算法,顺序查找
类函数,操作符重载
类结构,抽象类
类结构,操作符重载
类结构,类函数
类结构,继承
类结构,继承属性
系统中断,中断处理
系统中断,中断源
系统环境,中间件
系统环境,内核
系统环境,计算机系统
系统结构,服务数据单元
系统结构,随机存取机
约束集,凸规划
级数求和,傅里叶变换
级数求和,调和级数
线性回归,线性回归模型
线性搜索,随机搜索
线性方程,对称矩阵
线性方程,张量
线性方程,正定矩阵
线性方程,特征向量
线性方程,矩阵的元
线性方程,矩阵的迹
线性方程,矩阵表示
线性方程,线性变换
线性方程,行向量
线性空间,复线性空间
线性空间,巴拿赫空间
线性空间,希尔伯特空间
线性空间,拓扑线性空间
线性空间,离散空间
线性组合,基向量
线性组合,希尔伯特空间
线性组合,正交基
线性结构,数组
线性结构,线性表
线性结构,顺序查找
线性表,二分搜索
线性表,先进先出
线性表,双端队列
线性表,哈希表
线性表,平均查找长度
线性表,穷举搜索
线性表,顺序查找
结点,关联矩阵
结点,同源
结点,图的遍历
结点,子图
结点,局部环
结点,无向图
结点,有向图
结点,连通图
结点,连通域
结点,邻接矩阵
结点,邻接表
绝对值,拓扑线性空间
绝对值,离散空间
绝对值,范数
绝对地址,列地址
绝对地址,地址计算
绝对地址,存储分配
绝对地址,存储过程
绝对地址,空间管理
绝对地址,系统结构
绝对地址,虚拟存储管理
绝对地址,行地址
绝对地址,顺序存储
继承,单继承
继承,多继承
继承,抽象类
继承,继承属性
继承,面向对象方法
继承属性,面向对象方法
编址,列地址
编址,地址映射
编址,地址空间
编址,地址解析
编址,地址计算
编址,存储分配
编址,存储过程
编址,寻址
编址,寻址方式
编址,相对地址
编址,系统结构
编址,绝对地址
编址,虚拟地址
编址,虚拟地址空间
编址,虚拟存储管理
编址,行地址
编址,逻辑地址
编址,逻辑地址空间
编址,顺序存储
网络体系结构,互连网络
网络体系结构,以太网
网络体系结构,传输层
网络体系结构,因特网
网络体系结构,存储网络
网络体系结构,广域网
网络体系结构,数据网络
网络体系结构,无线局域网
网络体系结构,覆盖网络
网络图,流程控制
网络图,自底向上
网络地址转换,报文交换
网络地址转换,数据传送
网络地址转换,网络延时
网络地址转换,路由信息协议
网络安全,网络攻击
网络延时,即时通信
网络延时,异步传输
网络攻击,重放攻击
网络规模,互连网络
网络规模,数据网络
网络规模,网络安全
网络规模,网络攻击
翻译程序,计算机系统
自动推理,不确定性推理
自动推理,专家系统
自动机,图灵机
自变量,价值函数
自变量,仿射函数
自变量,传递函数
自变量,似然函数
自变量,傅里叶变换
自变量,减函数
自变量,凸函数
自变量,函数
自变量,动作函数
自变量,势函数
